source	target
82855	3749
82855	28764
82855	39283
82855	80816
82855	88785
28764	27042
28764	71180
28764	88403
6651	5584
6651	17866
6651	19928
6651	57896
6651	80926
54155	29632
54155	56798
29632	47
29632	26889
29632	30925
29632	62083
26889	47500
39283	40085
20347	48556
9003	78943
87530	88806
86563	32743
86563	37181
86563	39168
86563	52971
86563	53210
86563	63554
79732	12080
79732	18671
79732	24101
79732	29843
79732	61022
79732	65372
79732	68674
79732	84171
79732	84946
53210	74221
53210	81426
22295	24909
22295	50368
22295	64283
22295	81938
13825	79125
63554	76909
32743	53210
32743	74221
32743	81426
56944	28911
56944	37186
56944	26088
50543	91375
13825	13263
13825	69221
87790	74053
29105	11882
29105	78932
78879	20493
50543	13382
50543	83564
81938	13826
22272	47493
13492	35837
13492	29117
13492	35560
18270	27070
47493	7986
47493	14497
47493	70594
47493	71189
47493	74903
24545	11416
24545	78401
76718	28939
19928	67125
20493	6363
20493	66753
13826	17607
13826	62602
13826	63220
13826	66888
13826	68539
13826	80012
86737	61428
17457	29607
24909	50368
71484	12694
71484	13117
71484	48178
71484	59537
71484	75254
71484	90473
29607	44185
29607	87050
44185	45314
44185	49852
44185	74880
29607	36752
29607	72258
29607	72259
29607	82599
68539	5185
68539	20787
68539	32592
68539	46568
68539	48993
68539	54581
68539	55475
68539	60947
68539	73142
68539	82890
68168	8476
68168	45659
21979	3986
21979	47410
91144	59240
91144	40209
21979	83712
82890	65453
82890	80086
82890	81658
87050	36003
87050	51088
33686	37749
33686	65940
66172	4664
22824	29864
22824	38409
22824	41174
22824	70616
22824	76097
22824	91144
83573	4664
65453	18159
11882	41615
11882	16240
12694	44611
12694	61352
28056	68958
41174	26047
75055	2107
78932	4355
78932	31684
13179	9660
13179	16466
13179	22788
13179	35171
13179	41805
13179	46271
13179	57600
13179	64990
19074	32040
19074	80443
16585	24022
16585	67371
16585	74023
68179	9380
68179	73226
31684	58029
31684	59929
31684	80710
36545	3928
36545	51335
36545	53946
36545	69867
36545	75640
86890	7490
86890	23456
86890	69542
22788	9020
44872	69150
19089	75944
32396	46433
51088	47194
38907	78156
62568	83608
3777	1046
3777	9554
32396	8368
32396	30539
32396	54153
32396	55936
32396	88738
66223	54932
66223	77572
39337	32040
39337	60443
39337	80443
75640	36545
75640	53946
75640	88806
47194	11926
47194	46389
47194	59777
36752	10796
36752	22898
36752	72258
36752	85228
46433	40479
46433	46012
46433	90456
47194	45632
47194	72090
47194	91258
3928	90661
14787	2115
48438	11528
48438	91665
58029	61072
58029	63027
50260	5839
50260	66593
2115	2544
2115	85853
73122	17594
70594	23248
5839	26271
40528	77441
7972	32728
7972	62972
7972	72433
50260	8604
50260	35846
7763	45005
14497	5681
14497	12511
26271	15837
3986	46268
27070	78557
35846	8604
57244	65901
57244	78227
57244	86359
41379	71498
24362	68334
4355	24421
4355	32832
4355	60251
12511	37555
12511	50619
56209	59304
86359	15959
86359	24943
24421	4355
24421	69082
85650	73762
36567	6630
36567	13789
36567	20437
36567	43951
36567	63290
44429	14497
34305	13966
